total_years_experience,num_positions,avg_tenure_months,education_level_score,total_skills_count,has_certifications,language_count,section_completeness_score,max_language_score,has_senior_title,career_gap_months,latest_job_duration,has_summary,num_certifications,parse_quality_score,recommendation
1.8,3,7.2,3,24,1,4,1.0,4,1,1,22,1,1,1,Invite
1.6,1,19.2,2,7,1,2,0.58,2,0,6,9,0,0,0,Reject
7.3,4,21.9,4,15,1,2,0.87,5,0,2,20,1,4,2,Invite
2.9,5,7.0,4,12,0,2,0.61,3,1,6,26,1,2,2,Invite
14.8,6,29.6,4,18,1,2,0.77,3,1,2,58,1,1,2,Invite
3.1,2,18.6,5,15,1,4,0.99,3,1,1,52,1,2,2,Invite
5.1,5,12.2,3,17,1,1,0.88,4,0,1,17,1,1,1,Invite
12.3,6,24.6,3,21,0,1,0.67,4,1,0,32,1,2,2,Invite
9.5,4,28.5,2,20,1,2,0.75,6,0,0,33,1,2,1,Invite
9.2,2,55.2,4,17,1,4,0.72,4,0,0,24,0,3,0,Invite
1.6,6,3.2,5,15,0,4,0.78,6,0,1,27,1,3,2,Invite
7.0,3,28.0,2,12,0,3,0.61,3,1,2,31,1,1,0,Invite
9.0,6,18.0,4,25,0,4,0.9,5,1,0,31,1,4,2,Invite
5.2,3,20.8,1,9,0,2,0.33,2,0,6,7,0,0,1,Reject
1.7,3,6.8,2,6,0,2,0.3,3,0,18,12,1,1,1,Reject
6.8,5,16.3,5,15,1,2,0.6,3,0,2,59,1,4,2,Invite
3.0,2,18.0,4,17,0,1,0.72,5,1,0,33,1,1,2,Invite
5.4,4,16.2,5,23,1,1,0.86,6,0,0,46,1,4,2,Invite
6.7,4,20.1,4,18,1,1,0.68,5,1,3,34,0,2,2,Invite
1.3,5,3.1,4,13,1,4,0.67,3,1,2,57,1,1,2,Invite
9.1,4,27.3,3,17,0,3,0.91,4,1,0,13,1,2,1,Invite
1.2,3,4.8,3,6,0,1,0.51,1,0,12,17,0,0,0,Reject
2.4,2,14.4,2,9,1,1,0.73,3,0,2,59,1,3,2,Invite
10.9,3,43.6,3,16,1,4,0.87,5,0,0,12,1,1,1,Invite
6.3,4,18.9,4,13,0,3,0.82,3,0,0,55,0,4,1,Invite
8.5,3,34.0,4,22,1,3,0.73,4,1,1,46,0,4,2,Invite
8.5,2,51.0,4,22,1,2,0.66,5,1,0,56,1,3,2,Invite
0.0,2,0.0,2,3,0,2,0.39,1,0,3,12,0,0,1,Reject
6.7,6,13.4,4,17,1,4,0.84,4,1,1,42,1,3,1,Invite
1.6,2,9.6,2,8,0,2,0.42,1,0,0,3,1,1,0,Reject
6.4,5,15.4,3,20,0,1,0.87,6,0,1,15,0,2,2,Invite
3.3,3,13.2,3,4,0,2,0.41,2,0,6,15,0,1,0,Reject
0.6,2,3.6,2,7,1,1,0.44,3,0,6,5,1,0,1,Reject
0.9,2,5.4,2,25,1,3,0.64,5,1,0,56,1,3,2,Invite
5.1,3,20.4,4,14,1,3,0.94,4,0,3,20,0,1,2,Invite
7.8,5,18.7,4,12,0,4,0.94,6,1,0,39,1,4,2,Invite
6.7,5,16.1,5,15,1,3,0.76,5,0,0,42,1,1,2,Invite
2.6,1,31.2,1,10,1,2,0.39,1,0,6,3,0,0,1,Reject
3.4,4,10.2,4,8,1,4,0.83,5,0,6,30,1,1,2,Invite
5.0,4,15.0,4,16,0,4,0.83,3,1,0,59,1,3,2,Invite
11.6,4,34.8,3,16,0,3,0.61,3,1,3,59,0,4,2,Invite
9.4,3,37.6,4,24,1,3,0.99,4,1,2,43,1,4,2,Invite
3.0,3,12.0,4,19,0,3,0.9,3,0,0,42,1,2,2,Invite
3.5,2,21.0,1,10,1,1,0.32,2,0,3,11,1,0,0,Reject
3.5,6,7.0,5,16,0,3,0.92,5,1,0,55,1,2,2,Invite
5.6,1,67.2,1,2,0,1,0.2,1,0,6,15,0,1,0,Reject
6.2,6,12.4,4,14,1,1,0.88,3,0,1,36,1,2,2,Invite
2.0,2,12.0,1,12,1,2,0.57,2,0,12,11,0,0,0,Reject
0.0,4,-1.8,5,16,0,1,0.8,4,1,0,43,0,4,1,Invite
13.4,5,32.2,4,11,0,1,0.83,5,1,0,43,0,1,2,Invite
2.2,2,13.2,2,10,0,2,0.39,2,0,12,3,0,0,1,Reject
5.6,2,33.6,1,10,1,2,0.33,2,0,6,3,0,1,0,Reject
7.4,3,29.6,4,20,1,3,0.88,3,1,0,17,1,4,2,Invite
2.7,3,10.8,2,15,1,1,0.92,5,0,6,40,1,1,0,Invite
7.2,2,43.2,3,24,1,2,0.9,4,1,0,21,1,1,2,Invite
1.9,1,22.8,1,12,0,1,0.45,2,0,12,4,0,0,2,Reject
7.6,6,15.2,4,15,0,2,0.77,6,0,6,48,1,3,2,Invite
1.6,1,19.2,2,7,0,2,0.26,2,0,0,12,0,1,0,Reject
10.6,6,21.2,3,13,0,4,0.63,3,0,0,53,1,3,2,Invite
5.1,2,30.6,2,5,0,2,0.41,2,0,3,6,0,0,1,Reject
1.8,2,10.8,1,2,0,1,0.25,3,0,18,12,1,0,1,Reject
6.2,3,24.8,3,14,0,2,0.87,6,0,0,14,0,3,2,Invite
4.3,5,10.3,2,9,1,2,0.66,3,0,0,27,1,3,2,Invite
5.6,2,33.6,1,3,0,1,0.29,2,0,18,13,1,0,1,Reject
8.3,6,16.6,4,20,0,4,0.89,5,1,0,20,0,1,2,Invite
5.9,5,14.2,4,13,1,2,0.95,4,1,1,51,1,2,1,Invite
0.0,3,0.0,2,9,0,2,0.49,1,0,3,14,0,0,2,Reject
2.9,2,17.4,3,2,1,1,0.37,2,0,6,4,0,0,0,Reject
1.8,1,21.6,1,6,0,1,0.21,3,0,3,15,1,0,2,Reject
4.1,3,16.4,5,20,0,3,0.85,3,1,0,56,1,1,2,Invite
1.6,3,6.4,2,12,0,2,0.49,1,0,6,12,1,0,1,Reject
3.1,2,18.6,3,13,1,1,0.82,4,0,0,46,0,4,2,Invite
4.6,3,18.4,2,7,0,2,0.4,2,0,3,3,0,1,1,Reject
3.6,2,21.6,4,25,1,3,0.78,5,1,3,16,0,4,1,Invite
10.3,2,61.8,3,16,0,2,0.8,4,1,1,30,1,2,2,Invite
13.8,2,82.8,3,10,0,2,0.93,5,0,0,53,1,4,2,Invite
3.7,2,22.2,2,6,0,2,0.29,2,0,18,2,0,1,1,Reject
4.3,3,17.2,4,17,0,2,0.94,4,0,0,32,1,4,2,Invite
6.3,4,18.9,5,12,0,2,0.81,3,1,0,43,1,4,2,Invite
6.7,6,13.4,5,18,1,3,0.79,5,1,2,48,1,4,2,Invite
6.1,6,12.2,3,8,1,2,0.78,3,0,1,24,1,2,2,Invite
2.6,1,31.2,1,10,1,1,0.59,2,0,0,11,0,0,2,Reject
10.5,4,31.5,3,8,0,3,0.72,6,1,0,58,1,4,2,Invite
11.7,5,28.1,4,21,0,1,0.66,5,0,3,33,0,4,1,Invite
9.7,6,19.4,4,12,0,4,0.72,6,0,2,49,1,4,1,Invite
1.4,1,16.8,1,12,1,2,0.25,3,0,18,14,0,0,0,Reject
0.0,3,0.0,2,11,0,2,0.55,3,0,12,4,0,0,2,Reject
7.3,2,43.8,3,22,1,2,0.74,3,0,0,34,0,3,2,Invite
0.0,1,0.0,2,11,0,2,0.55,3,0,12,9,0,1,0,Reject
6.6,3,26.4,2,24,0,4,0.76,4,0,0,26,1,1,2,Invite
3.3,1,39.6,2,6,0,1,0.53,3,0,6,11,0,1,0,Reject
3.2,1,38.4,1,4,0,2,0.25,1,0,18,14,0,0,0,Reject
2.5,1,30.0,1,12,0,1,0.39,2,0,0,10,0,0,2,Reject
1.9,1,22.8,2,5,0,2,0.21,1,0,12,9,1,1,1,Reject
3.0,3,12.0,2,3,1,1,0.41,3,0,0,10,0,0,2,Reject
2.9,3,11.6,5,23,0,2,0.78,3,0,0,36,1,2,2,Invite
1.6,3,6.4,1,7,0,1,0.23,2,0,0,10,0,1,1,Reject
4.6,1,55.2,2,6,1,2,0.28,1,0,18,16,1,1,0,Reject
1.6,2,9.6,2,12,0,1,0.36,3,0,6,4,1,0,0,Reject
2.5,2,15.0,1,8,0,2,0.49,2,0,12,9,1,1,1,Reject
8.1,3,32.4,1,9,0,2,0.4,1,0,6,5,0,0,2,Reject
4.3,2,25.8,5,20,1,3,0.66,3,1,1,45,1,4,1,Invite
0.9,2,5.4,3,10,0,1,0.6,1,0,3,11,1,1,1,Reject
7.1,6,14.2,4,17,1,2,0.8,4,0,0,60,0,4,2,Invite
0.5,1,6.0,2,8,0,2,0.45,2,0,12,10,0,0,1,Reject
5.5,4,16.5,3,8,1,3,0.75,6,0,0,34,0,2,1,Invite
1.5,2,9.0,5,11,0,1,0.82,3,0,3,48,1,4,2,Invite
0.1,3,0.4,1,7,0,2,0.33,1,0,12,4,0,0,1,Reject
7.3,6,14.6,3,21,0,1,0.94,4,0,0,48,1,2,2,Invite
0.7,3,2.8,3,3,0,2,0.23,3,0,6,7,0,0,1,Reject
8.1,6,16.2,3,21,1,4,0.87,4,1,1,45,1,4,1,Invite
0.5,3,2.0,3,6,1,2,0.57,3,0,6,17,0,1,0,Reject
6.0,5,14.4,4,10,1,4,0.71,5,1,0,50,1,2,1,Invite
4.7,3,18.8,4,17,1,4,0.77,3,0,0,13,1,3,2,Invite
11.6,5,27.8,4,9,1,1,0.73,5,1,3,38,1,1,2,Invite
0.0,1,0.0,1,11,0,1,0.41,3,0,18,17,0,0,0,Reject
7.9,6,15.8,4,15,1,2,0.66,4,0,0,38,1,1,2,Invite
4.5,2,27.0,3,21,1,2,0.99,4,0,2,31,0,1,2,Invite
5.4,3,21.6,1,10,0,2,0.56,3,0,0,8,1,1,0,Reject
1.4,2,8.4,1,5,0,1,0.57,3,0,3,14,1,1,2,Reject
4.6,2,27.6,3,7,0,1,0.53,3,0,3,3,0,1,1,Reject
5.8,2,34.8,4,13,1,2,0.6,4,1,0,17,0,2,2,Invite
4.1,3,16.4,2,7,0,1,0.3,3,0,6,11,1,0,0,Reject
2.5,5,6.0,5,15,0,1,0.97,4,1,6,24,1,2,0,Invite
5.6,4,16.8,3,11,0,4,0.91,6,1,0,26,1,2,2,Invite
1.8,2,10.8,1,9,0,2,0.54,3,0,3,10,1,0,1,Reject
8.5,4,25.5,3,22,1,3,0.83,6,0,0,32,1,4,2,Invite
3.8,3,15.2,2,11,0,1,0.42,1,0,3,8,0,1,2,Reject
5.1,3,20.4,3,2,0,2,0.32,2,0,12,5,1,0,1,Reject
6.2,6,12.4,4,18,1,2,0.64,6,0,0,14,1,4,2,Invite
2.4,2,14.4,3,6,0,2,0.41,2,0,18,11,1,1,2,Reject
0.2,5,0.5,2,12,0,2,0.61,5,0,0,19,1,4,0,Invite
6.1,5,14.6,3,12,0,1,0.68,5,0,0,44,1,2,2,Invite
0.3,3,1.2,2,4,0,1,0.3,2,0,12,11,0,0,1,Reject
12.4,3,49.6,2,22,1,4,0.78,5,1,0,14,1,4,2,Invite
1.4,3,5.6,3,11,0,1,0.52,2,0,3,2,1,1,0,Reject
7.3,5,17.5,2,14,0,4,0.71,4,0,0,39,1,3,2,Invite
12.1,4,36.3,4,19,1,4,0.78,6,0,1,39,0,4,2,Invite
4.1,2,24.6,4,22,1,2,0.97,3,0,0,42,1,2,2,Invite
8.3,3,33.2,4,17,1,1,0.97,3,1,0,41,1,3,2,Invite
7.1,5,17.0,3,13,1,1,0.63,5,0,2,60,1,3,2,Invite
2.1,1,25.2,1,3,0,2,0.55,1,0,6,1,0,0,0,Reject
0.5,3,2.0,3,11,0,2,0.45,3,0,3,13,1,0,0,Reject
7.8,2,46.8,5,14,1,2,0.79,4,1,0,52,1,2,1,Invite
3.8,1,45.6,1,4,0,2,0.59,2,0,0,15,0,0,0,Reject
4.2,2,25.2,1,2,0,2,0.59,2,0,12,18,1,0,1,Reject
3.5,5,8.4,3,9,1,4,0.83,3,0,1,42,0,3,2,Invite
4.8,3,19.2,3,14,1,4,0.69,4,1,1,50,1,4,1,Invite
5.2,4,15.6,4,13,1,3,0.88,3,1,0,24,0,4,1,Invite
0.0,5,-1.0,3,14,1,1,0.74,5,0,0,44,0,1,2,Invite
7.6,5,18.2,3,18,1,1,0.91,5,1,3,44,1,1,2,Invite
5.0,2,30.0,2,3,1,1,0.53,1,0,6,6,0,0,2,Reject
6.2,6,12.4,4,11,0,3,0.73,4,0,0,38,1,1,1,Invite
4.6,2,27.6,1,4,0,2,0.49,2,0,3,8,0,1,2,Reject
0.9,5,2.2,5,24,1,3,0.98,6,0,0,45,1,1,2,Invite
9.9,3,39.6,4,20,1,2,0.96,3,1,6,54,1,3,2,Invite
1.3,3,5.2,2,7,0,2,0.56,3,0,18,13,0,0,2,Reject
1.2,6,2.4,4,19,1,4,0.91,5,0,1,36,1,2,2,Invite
7.8,4,23.4,4,13,0,3,0.7,5,1,6,19,1,3,2,Invite
10.5,2,63.0,2,11,1,1,0.78,4,1,6,48,1,2,2,Invite
8.0,3,32.0,4,24,1,1,0.73,4,1,0,18,0,4,2,Invite
2.4,2,14.4,4,12,1,4,0.63,6,1,1,37,1,4,2,Invite
0.7,3,2.8,3,4,0,1,0.39,2,0,0,17,1,0,1,Reject
0.2,2,1.2,4,25,0,1,0.84,6,0,0,30,0,2,1,Invite
5.2,2,31.2,4,12,1,4,0.62,5,1,0,59,1,1,2,Invite
8.8,2,52.8,4,17,1,3,0.91,6,1,2,20,1,4,2,Invite
4.4,1,52.8,2,12,0,2,0.29,2,0,3,2,1,1,2,Reject
10.9,3,43.6,4,17,1,1,0.86,3,0,1,48,1,2,2,Invite
11.4,6,22.8,3,8,0,2,0.7,6,0,1,32,1,1,2,Invite
2.8,2,16.8,2,8,0,2,0.35,1,0,0,4,0,1,0,Reject
9.2,5,22.1,4,9,1,3,0.67,3,0,0,21,1,3,2,Invite
3.4,1,40.8,1,5,0,1,0.4,3,0,3,4,0,1,1,Reject
3.9,3,15.6,5,8,0,1,0.7,4,0,0,17,1,2,2,Invite
7.3,6,14.6,5,15,1,4,0.98,6,0,2,51,1,2,0,Invite
0.0,3,0.0,1,7,1,1,0.43,3,0,3,6,1,0,1,Reject
7.5,2,45.0,5,25,1,4,0.68,5,1,3,52,1,4,2,Invite
1.9,3,7.6,1,4,0,1,0.44,1,0,18,6,0,1,2,Reject
8.9,2,53.4,4,22,1,3,0.99,6,1,0,23,1,1,1,Invite
7.1,2,42.6,4,19,0,3,0.92,4,0,0,35,0,4,2,Invite
2.8,1,33.6,1,12,0,2,0.43,2,0,0,7,0,0,0,Reject
9.1,6,18.2,5,24,1,3,0.68,3,1,1,46,1,4,0,Invite
7.9,2,47.4,5,18,1,4,0.71,6,0,1,14,1,2,0,Invite
0.8,2,4.8,1,3,1,1,0.6,1,0,18,14,1,0,0,Reject
6.5,2,39.0,4,11,0,4,0.92,5,1,0,42,1,3,2,Invite
1.0,1,12.0,2,11,0,1,0.45,3,0,0,2,1,1,1,Reject
2.3,1,27.6,2,2,1,2,0.22,3,0,6,3,0,0,1,Reject
6.0,5,14.4,3,8,1,4,0.92,3,0,3,13,1,3,2,Invite
7.9,2,47.4,4,10,1,2,0.96,4,1,0,38,1,4,1,Invite
8.5,6,17.0,4,19,0,2,0.66,5,1,0,12,1,2,1,Invite
7.4,6,14.8,5,21,0,2,0.86,4,1,0,54,1,4,2,Invite
0.2,6,0.4,3,18,0,4,0.95,3,0,3,52,1,2,2,Invite
3.4,5,8.2,4,18,1,4,0.68,4,1,0,12,0,1,2,Invite
3.1,4,9.3,2,8,0,3,0.67,5,1,0,47,1,2,0,Invite
3.5,1,42.0,1,12,0,1,0.34,1,0,3,8,0,1,1,Reject
9.4,2,56.4,3,3,0,1,0.52,1,0,6,12,0,1,2,Reject
5.5,2,33.0,4,14,1,3,0.92,5,0,1,29,1,4,1,Invite
2.6,2,15.6,3,20,1,3,0.8,6,0,2,45,1,4,2,Invite
7.8,6,15.6,4,14,0,2,0.78,4,0,0,36,1,3,2,Invite
7.0,6,14.0,3,9,1,3,0.77,6,0,0,43,1,4,0,Invite
4.5,4,13.5,4,19,1,3,0.94,3,1,3,18,0,3,0,Invite
7.9,4,23.7,4,16,0,2,1.0,5,0,0,34,1,4,2,Invite
4.2,3,16.8,1,12,0,1,0.55,1,0,3,7,0,1,2,Reject
7.7,3,30.8,4,21,0,4,0.94,3,0,1,20,1,1,2,Invite
0.8,2,4.8,1,8,0,2,0.51,3,0,6,11,0,0,2,Reject
9.6,6,19.2,5,20,1,2,0.98,3,1,0,18,1,4,2,Invite
6.2,3,24.8,3,25,0,4,0.61,4,0,6,30,1,3,2,Invite
10.4,3,41.6,3,21,0,1,0.65,6,0,0,25,0,2,2,Invite
3.4,3,13.6,2,11,0,2,0.43,3,0,12,15,0,0,2,Reject
8.8,3,35.2,4,23,1,1,0.89,5,1,3,34,1,3,2,Invite
0.1,1,1.2,2,4,1,2,0.38,3,0,0,4,0,0,0,Reject
2.1,2,12.6,2,3,0,1,0.56,2,0,18,18,0,1,0,Reject
11.2,4,33.6,4,13,0,1,0.78,3,1,1,41,1,4,2,Invite
8.5,3,34.0,3,22,1,1,0.63,4,1,0,42,1,2,1,Invite
7.1,2,42.6,3,11,1,4,0.67,3,1,0,34,0,1,2,Invite
6.1,6,12.2,4,11,0,3,0.78,3,0,0,24,1,3,2,Invite
7.3,2,43.8,4,8,0,2,0.87,3,0,3,54,0,2,0,Invite
8.1,3,32.4,4,25,0,4,0.65,4,0,0,12,1,3,0,Invite
4.6,3,18.4,2,16,1,3,0.62,4,0,2,43,1,1,2,Invite
4.8,2,28.8,3,11,0,2,0.47,3,0,0,6,0,1,2,Reject
1.3,1,15.6,1,11,1,2,0.35,3,0,12,17,0,0,0,Reject
9.1,5,21.8,4,10,0,3,0.8,4,0,0,14,1,4,2,Invite
5.4,4,16.2,3,9,1,4,0.86,5,1,0,58,1,2,1,Invite
14.8,3,59.2,4,20,1,2,0.78,3,0,0,24,0,2,2,Invite
2.6,3,10.4,4,14,0,1,0.77,6,0,2,27,1,2,2,Invite
9.0,5,21.6,2,19,0,2,0.79,6,1,2,60,0,4,0,Invite
6.6,2,39.6,4,17,1,2,0.82,4,0,0,41,1,4,1,Invite
5.3,3,21.2,2,24,1,3,0.8,6,1,6,35,1,3,2,Invite
7.3,5,17.5,5,11,0,2,0.68,6,1,2,60,1,4,2,Invite
9.8,5,23.5,4,15,1,3,0.85,3,1,1,28,1,2,2,Invite
8.0,3,32.0,2,10,1,4,0.76,3,1,0,39,0,4,2,Invite
11.3,5,27.1,4,21,1,1,0.64,5,1,0,25,1,4,2,Invite
6.1,3,24.4,5,8,0,4,0.81,5,1,0,35,0,2,1,Invite
10.1,3,40.4,3,9,1,2,0.7,6,0,3,18,1,2,1,Invite
6.0,2,36.0,3,18,0,2,0.79,3,0,0,12,1,1,1,Invite
11.1,4,33.3,5,23,1,4,0.73,5,1,2,35,1,4,2,Invite
2.6,2,15.6,3,2,0,2,0.49,1,0,0,4,1,1,2,Reject
2.5,3,10.0,2,9,0,1,0.2,3,0,18,11,0,1,2,Reject
4.7,3,18.8,1,9,0,2,0.36,3,0,12,12,0,1,2,Reject
5.2,2,31.2,2,4,1,1,0.25,1,0,3,18,1,1,0,Reject
4.3,2,25.8,4,25,0,2,0.67,3,0,6,13,0,3,2,Invite
2.8,2,16.8,3,12,0,1,0.57,3,0,12,3,1,1,2,Reject
4.0,3,16.0,1,7,0,2,0.46,3,0,18,14,1,0,0,Reject
9.1,6,18.2,5,11,1,2,0.94,6,1,0,15,1,2,2,Invite
3.7,2,22.2,2,12,1,1,0.41,3,0,6,4,0,1,1,Reject
2.1,3,8.4,2,11,0,1,0.44,2,0,6,4,0,1,1,Reject
9.0,4,27.0,4,20,0,3,0.66,4,1,3,26,1,1,2,Invite
4.5,2,27.0,3,12,1,1,0.6,3,0,3,14,0,1,2,Reject
3.2,6,6.4,4,17,1,2,0.88,6,0,0,49,1,1,2,Invite
1.3,1,15.6,2,9,0,1,0.28,3,0,0,1,0,0,1,Reject
2.8,1,33.6,1,8,0,1,0.57,1,0,3,16,0,0,0,Reject
5.3,3,21.2,4,20,0,1,0.7,6,0,1,23,1,4,2,Invite
4.3,3,17.2,2,9,1,2,0.31,3,0,6,1,0,0,0,Reject
8.8,6,17.6,4,23,0,1,0.92,4,0,6,56,1,2,1,Invite
5.8,6,11.6,3,8,0,4,0.63,3,1,0,54,1,2,2,Invite
4.7,2,28.2,1,4,0,1,0.24,2,0,18,2,0,0,1,Reject
7.1,6,14.2,3,8,0,1,0.98,5,1,0,48,1,3,2,Invite
1.0,1,12.0,2,12,1,1,0.21,1,0,3,7,1,0,1,Reject
10.0,6,20.0,4,25,0,4,0.86,4,0,0,28,1,2,2,Invite
5.9,3,23.6,4,24,1,4,0.93,5,1,0,13,1,2,1,Invite
0.0,2,-16.8,4,21,0,1,0.75,5,1,0,26,1,1,2,Invite
1.8,1,21.6,1,6,0,2,0.24,2,0,12,10,0,0,2,Reject
8.0,5,19.2,3,25,1,4,0.79,4,0,1,57,0,2,1,Invite
6.3,4,18.9,4,15,1,4,0.88,4,0,0,41,1,3,2,Invite
13.7,3,54.8,3,10,1,4,0.91,3,1,0,27,1,2,2,Invite
5.5,2,33.0,5,21,1,2,0.79,3,0,1,59,0,4,2,Invite
7.0,1,84.0,3,12,1,1,0.44,1,0,12,17,1,0,0,Reject
0.0,2,0.0,2,4,0,1,0.34,3,0,3,18,1,0,0,Reject
6.4,4,19.2,3,20,0,3,0.97,3,1,3,43,0,1,2,Invite
6.8,3,27.2,4,8,0,4,0.68,4,0,3,12,0,3,1,Invite
7.2,4,21.6,3,13,1,3,0.64,6,1,0,20,1,4,0,Invite
2.3,2,13.8,1,8,0,2,0.56,1,0,12,16,1,1,0,Reject
5.6,5,13.4,4,12,0,4,0.8,6,0,6,13,0,3,2,Invite
2.8,2,16.8,2,11,0,2,0.39,2,0,6,14,0,0,2,Reject
11.5,4,34.5,4,16,1,2,0.87,6,0,2,18,1,2,1,Invite
1.7,1,20.4,1,2,0,1,0.57,2,0,0,7,0,0,1,Reject
5.8,3,23.2,3,21,1,4,0.86,5,0,0,34,1,2,2,Invite
7.9,4,23.7,3,23,0,1,0.77,5,1,0,31,0,1,2,Invite
2.7,1,32.4,1,7,0,2,0.3,2,0,3,13,0,0,0,Reject
4.4,3,17.6,3,5,0,1,0.23,3,0,6,10,1,0,1,Reject
9.7,3,38.8,3,25,1,3,0.96,6,1,0,39,0,4,2,Invite
2.8,2,16.8,2,4,0,1,0.52,3,0,0,13,0,0,0,Reject
1.3,2,7.8,2,8,0,2,0.28,1,0,0,7,0,0,2,Reject
0.0,3,0.0,1,5,0,2,0.42,1,0,3,18,0,0,1,Reject
3.4,2,20.4,3,6,1,1,0.46,1,0,18,7,0,0,1,Reject
9.6,6,19.2,3,12,1,3,0.73,3,1,0,34,1,3,1,Invite
2.2,3,8.8,2,11,0,2,0.58,2,0,18,18,0,1,0,Reject
2.3,5,5.5,3,15,1,4,0.75,6,0,0,23,1,2,1,Invite
4.3,3,17.2,4,8,0,2,0.93,4,0,0,27,1,4,1,Invite
6.2,6,12.4,2,20,0,1,0.91,3,0,2,29,0,1,2,Invite
1.6,2,9.6,4,18,1,1,0.68,6,1,3,22,1,4,1,Invite
5.5,2,33.0,2,9,0,3,0.64,6,0,3,13,1,4,1,Invite
0.0,1,0.0,3,12,0,1,0.4,1,0,3,10,0,1,0,Reject
6.2,3,24.8,1,8,0,1,0.47,1,0,18,10,0,1,1,Reject
3.9,5,9.4,4,16,1,1,0.92,4,1,0,21,1,4,2,Invite
2.7,3,10.8,2,12,0,4,0.74,6,0,1,38,1,3,1,Invite
3.9,1,46.8,1,10,0,2,0.41,1,0,3,14,0,0,2,Reject
16.6,2,99.6,3,23,1,1,0.62,5,0,2,20,1,2,2,Invite
7.2,5,17.3,3,15,0,2,0.65,4,0,0,39,1,1,2,Invite
10.2,2,61.2,3,12,0,1,0.6,6,0,0,59,0,3,2,Invite
0.0,2,0.0,2,2,0,1,0.22,3,0,0,6,0,0,1,Reject
10.1,4,30.3,5,24,0,2,0.77,4,0,0,36,1,2,2,Invite
5.9,2,35.4,3,13,1,1,0.93,6,0,1,37,1,2,1,Invite
4.9,2,29.4,2,18,0,3,0.67,3,0,1,60,1,2,2,Invite
8.1,2,48.6,3,10,1,1,0.83,6,0,0,31,0,3,2,Invite
0.8,2,4.8,2,4,0,1,0.33,3,0,6,17,1,0,0,Reject
2.5,2,15.0,2,2,0,1,0.47,1,0,18,3,1,0,2,Reject
0.6,1,7.2,3,10,0,2,0.38,1,0,3,12,0,1,0,Reject
0.0,3,0.0,1,5,1,1,0.58,3,0,6,16,0,0,0,Reject
0.0,1,0.0,2,9,0,2,0.26,2,0,6,12,0,0,2,Reject
4.7,5,11.3,5,22,1,2,0.98,6,0,3,37,1,2,2,Invite
5.2,2,31.2,4,24,1,1,0.85,3,1,0,47,0,1,2,Invite
5.2,5,12.5,5,15,0,4,0.87,5,0,1,41,0,2,2,Invite
5.5,1,66.0,2,3,0,2,0.29,3,0,6,9,0,0,2,Reject
4.6,3,18.4,3,9,1,4,0.62,5,1,6,25,0,1,2,Invite
2.1,1,25.2,1,6,0,2,0.55,2,0,18,17,0,1,0,Reject
11.2,5,26.9,3,17,0,3,0.98,6,0,1,22,1,4,2,Invite
2.3,3,9.2,1,12,0,1,0.33,3,0,12,11,0,1,2,Reject
7.3,4,21.9,3,21,0,1,1.0,4,1,1,49,0,2,2,Invite
5.3,6,10.6,3,19,0,2,0.99,3,0,0,31,1,1,2,Invite
2.1,5,5.0,4,19,0,4,0.81,5,0,0,39,1,2,2,Invite
9.6,5,23.0,4,11,1,1,0.64,3,1,0,43,1,1,2,Invite
3.2,2,19.2,4,21,0,4,0.82,3,0,0,19,1,4,2,Invite
1.6,1,19.2,3,5,0,2,0.55,2,0,3,14,0,0,2,Reject
2.3,2,13.8,2,19,1,3,0.73,6,0,6,24,1,4,2,Invite
1.6,3,6.4,1,4,0,2,0.41,2,0,3,5,0,1,2,Reject
6.3,4,18.9,5,13,1,2,0.64,3,0,1,49,0,1,2,Invite
6.1,4,18.3,3,15,0,2,0.89,6,1,1,29,0,2,2,Invite
0.0,6,-3.0,5,11,1,1,0.64,5,0,0,16,1,3,2,Invite
11.3,5,27.1,2,10,0,4,0.75,5,1,0,22,0,1,2,Invite
4.6,3,18.4,2,2,0,2,0.6,2,0,18,18,0,1,2,Reject
7.6,6,15.2,4,14,1,1,0.96,3,0,0,58,1,2,2,Invite
7.1,2,42.6,3,25,1,4,0.9,6,0,3,24,1,2,2,Invite
2.1,3,8.4,2,11,0,1,0.58,2,0,6,15,0,1,2,Reject
9.9,6,19.8,3,14,1,3,0.96,3,0,3,44,1,4,2,Invite
0.0,2,0.0,1,3,0,2,0.37,1,0,3,3,0,1,1,Reject
0.0,1,0.0,1,2,0,1,0.39,2,0,18,18,0,1,1,Reject
8.9,6,17.8,5,10,1,4,0.87,6,0,0,24,0,4,2,Invite
3.5,2,21.0,1,9,0,2,0.44,1,0,6,10,0,0,2,Reject
8.7,6,17.4,5,9,0,1,0.63,3,1,0,31,1,3,2,Invite
4.4,4,13.2,4,9,0,4,0.8,3,1,3,18,0,1,2,Invite
13.0,5,31.2,3,10,0,3,0.93,3,1,3,28,1,1,1,Invite
2.3,1,27.6,1,11,0,2,0.31,1,0,18,15,0,1,2,Reject
6.5,2,39.0,2,12,0,1,0.43,3,0,6,9,0,1,0,Reject
1.9,4,5.7,4,19,1,2,0.86,4,1,0,43,0,1,2,Invite
4.4,4,13.2,3,24,1,3,0.9,5,1,1,44,0,2,1,Invite
9.3,5,22.3,5,24,0,4,0.68,5,0,1,48,1,2,2,Invite
7.4,5,17.8,3,8,1,4,0.74,3,1,0,39,1,4,2,Invite
